level_0,level_1,Муниципалитет,Отсутствовали по болезни
11,0,Балашиха городской округ,5889
11,1,Богородский городской округ,2490
11,2,Бронницы городской округ,432
11,3,Власиха городской округ,303
11,4,Волоколамский городской округ,473
11,5,Воскресенск городской округ,1516
11,6,Восход ЗАТО городской округ,20
11,7,Дзержинский городской округ,720
11,8,Дмитровский городской округ,2018
11,9,Долгопрудный городской округ,1196
11,10,Домодедово городской округ,2554
11,11,Дубна городской округ,651
11,12,Егорьевск городской округ,949
11,13,Жуковский городской округ,1294
11,14,Зарайск городской округ,410
11,15,Звездный городок городской округ,75
11,16,Ивантеевка городской округ,900
11,17,Истра городской округ,1677
11,18,Кашира городской округ,836
11,19,Клин городской округ,1566
11,20,Коломенский городской округ,2440
11,21,Королёв городской округ,3044
11,22,Котельники городской округ,296
11,23,Красноармейск городской округ,362
11,24,Красногорск городской округ,3445
11,25,Краснознаменск городской округ,723
11,26,Ленинский городской округ,1926
11,27,Лобня городской округ,1120
11,28,Лосино-Петровский городской округ,938
11,29,Лотошино городской округ,202
11,30,Луховицы городской округ,712
11,31,Лыткарино городской округ,577
11,32,Люберцы городской округ,3815
11,33,Можайский городской округ,986
11,34,Молодежный городской округ,27
11,35,Мытищи городской округ,3092
11,36,Наро-Фоминский городской округ,1863
11,37,Одинцовский городской округ,5722
11,38,Озёры городской округ,500
11,39,Орехово-Зуевский городской округ,3156
11,40,Павловский Посад городской округ,890
11,41,Подольск городской округ,4375
11,42,Протвино городской округ,293
11,43,Пушкинский городской округ,3003
11,44,Пущино городской округ,236
11,45,Раменский городской округ,3248
11,46,Реутов городской округ,799
11,47,Рошаль городской округ,171
11,48,Руза городской округ,1306
11,49,Сергиево-Посадский городской округ,3246
11,50,Серебряные Пруды городской округ,254
11,51,Серпухов городской округ,2223
11,52,Солнечногорск городской округ,1777
11,53,Ступино городской округ,0
11,54,Талдомский городской округ,707
11,55,Фрязино городской округ,851
11,56,Химки городской округ,2949
11,57,Черноголовка городской округ,212
11,58,Чехов городской округ,1817
11,59,Шатура городской округ,971
11,60,Шаховская городской округ,320
11,61,Щёлково городской округ,2670
11,62,Электрогорск городской округ,270
11,63,Электросталь городской округ,1652
10,0,Балашиха городской округ,6188
10,1,Богородский городской округ,2558
10,2,Бронницы городской округ,398
10,3,Власиха городской округ,320
10,4,Волоколамский городской округ,492
10,5,Воскресенск городской округ,1643
10,6,Восход ЗАТО городской округ,19
10,7,Дзержинский городской округ,867
10,8,Дмитровский городской округ,2298
10,9,Долгопрудный городской округ,1057
10,10,Домодедово городской округ,2720
10,11,Дубна городской округ,591
10,12,Егорьевск городской округ,877
10,13,Жуковский городской округ,1364
10,14,Зарайск городской округ,350
10,15,Звездный городок городской округ,88
10,16,Ивантеевка городской округ,967
10,17,Истра городской округ,1726
10,18,Кашира городской округ,867
10,19,Клин городской округ,1662
10,20,Коломенский городской округ,2433
